"","x"
"1","Aatk"
"2","Ache"
"3","Ackr1"
"4","Ackr2"
"5","Ackr3"
"6","Ackr4"
"7","Acta2"
"8","Acvr1"
"9","Acvr1b"
"10","Acvr1c"
"11","Acvr2a"
"12","Acvr2b"
"13","Acvrl1"
"14","Adam17"
"15","Adcyap1r1"
"16","Adgra1"
"17","Adgra2"
"18","Adgra3"
"19","Adgrb1"
"20","Adgrb2"
"21","Adgrb3"
"22","Adgrd1"
"23","Adgrd2.ps"
"24","Adgre1"
"25","Adgre4"
"26","Adgre5"
"27","Adgrf1"
"28","Adgrf2"
"29","Adgrf3"
"30","Adgrf4"
"31","Adgrf5"
"32","Adgrg1"
"33","Adgrg2"
"34","Adgrg3"
"35","Adgrg4"
"36","Adgrg5"
"37","Adgrg6"
"38","Adgrl1"
"39","Adgrl2"
"40","Adgrl3"
"41","Adgrl4"
"42","Adgrv1"
"43","Adipoq"
"44","Adora1"
"45","Adora2a"
"46","Adora2b"
"47","Adora3"
"48","Adra1a"
"49","Adra1b"
"50","Adra1d"
"51","Adra2a"
"52","Adra2b"
"53","Adra2c"
"54","Adrb1"
"55","Adrb2"
"56","Adrb3"
"57","Agr3"
"58","Agtr1a"
"59","Agtr1b"
"60","Agtr2"
"61","Ahr"
"62","Aif1"
"63","Alk"
"64","Amh"
"65","Amhr2"
"66","Angpt1"
"67","Angpt2"
"68","Angpt4"
"69","Ano1"
"70","Aplnr"
"71","Apob"
"72","Ar"
"73","Arx"
"74","Asic1"
"75","Asic2"
"76","Asic3"
"77","Asic4"
"78","Asic5"
"79","Atf6"
"80","Atoh1"
"81","Avil"
"82","Avpr1a"
"83","Avpr1b"
"84","Avpr2"
"85","Axin2"
"86","Axl"
"87","Bambi"
"88","Bcl2"
"89","Bcl6"
"90","Bdkrb1"
"91","Bdkrb2"
"92","Bdnf"
"93","Best4.ps"
"94","Bmi1"
"95","Bmp1"
"96","Bmp10"
"97","Bmp15"
"98","Bmp2"
"99","Bmp3"
"100","Bmp4"
"101","Bmp5"
"102","Bmp6"
"103","Bmp7"
"104","Bmp8a"
"105","Bmp8b"
"106","Bmpr1a"
"107","Bmpr1b"
"108","Bmpr2"
"109","Brs3"
"110","C1qc"
"111","C3"
"112","C3ar1"
"113","C5ar1"
"114","C5ar2"
"115","Cacng6"
"116","Calcb"
"117","Calcr"
"118","Calcrl"
"119","Casp3"
"120","Casr"
"121","Cckar"
"122","Cckbr"
"123","Ccl1"
"124","Ccl11"
"125","Ccl12"
"126","Ccl17"
"127","Ccl19"
"128","Ccl2"
"129","Ccl20"
